model,class,gradcam_consistency,shap_consistency,uncertainty_level,uncertainty_spread
fedavg,AF,0.98388,0.9928857616259862,0.08902017637789404,0.010878345112655721
fedavg,IAVB,0.98185986,0.9854630272247039,0.05597551393482998,0.006199274854452858
fedavg,LAD,0.99089605,0.9895054944815249,0.05766801914610687,0.005065675692474932
fedavg,LBBB,0.97138536,0.9393814607833466,0.022200457816500076,0.007925454594266542
fedavg,NSIVCB,0.9022701,0.9606987957498402,0.03355513376904269,0.013889402615523183
fedavg,NSR,0.99778235,0.9990697650544741,0.011508286915913494,0.008482538173989689
fedavg,PAC,0.9050902,0.994547185937065,0.05503291655380701,0.006092834505455472
fedavg,QAb,0.95458096,0.9013181682307686,0.047426828259105984,0.018353886853805138
fedavg,RBBB,0.9582393,0.9759545567916855,0.06900928573089193,0.008282937675888825
fedavg,SB,0.8893202,0.9992103056554186,0.04805792824440361,0.018534521361645347
fedavg,STach,0.9908805,0.999118664203553,0.017813770194099774,0.004964415738198761
fedavg,TAb,0.99103874,0.995970963917325,0.05463342674803125,0.006047821153302655
fedprox,AF,0.9893334,0.9928857616259862,0.0996953356904318,0.00850438110943067
fedprox,IAVB,0.9587356,0.9854630272247039,0.1200008496630545,0.008962233795302357
fedprox,LAD,0.9746974,0.9895054944815249,0.08924579588045424,0.015408415754527326
fedprox,LBBB,0.96463996,0.9393814607833466,0.10182589202943523,0.015531539119869826
fedprox,NSIVCB,0.112606905,0.9606987957498402,0.014608639426705827,0.005643139839093833
fedprox,NSR,0.9946002,0.9990697650544741,0.06343204002869575,0.012468820535732571
fedprox,PAC,0.5792342,0.994547185937065,0.018753462754685014,0.0023199375300199275
fedprox,QAb,0.9330588,0.9013181682307686,0.024700864892115034,0.004139398792039851
fedprox,RBBB,0.9656964,0.9759545567916855,0.09003282069604437,0.006130441817138058
fedprox,SB,0.92310894,0.9992103056554186,0.099225446618639,0.031691986032144924
fedprox,STach,0.988479,0.999118664203553,0.051488912027808253,0.00432247025381953
fedprox,TAb,0.9940894,0.995970963917325,0.08196874336719884,0.004938012821442734
fedopt,AF,0.0,0.9928857616259862,0.0,0.0
fedopt,IAVB,0.0,0.9854630272247039,0.0011528372136699254,0.0014679380908753101
fedopt,LAD,0.0,0.9895054944815249,0.10781415482451198,0.004105813161094079
fedopt,LBBB,0.0,0.9393814607833466,0.04592575277296432,0.010503139884537327
fedopt,NSIVCB,0.9923069,0.9606987957498402,0.36774324167282035,0.03831175691614566
fedopt,NSR,0.99924624,0.9990697650544741,0.0394412174904479,0.002976334166908869
fedopt,PAC,0.99061453,0.994547185937065,0.4364950437811757,0.010160184918653744
fedopt,QAb,0.0,0.9013181682307686,0.0,0.0
fedopt,RBBB,0.0,0.9759545567916855,0.0,0.0
fedopt,SB,0.0,0.9992103056554186,0.0,0.0
fedopt,STach,0.0,0.999118664203553,0.0,0.0
fedopt,TAb,0.9999862,0.995970963917325,0.0017352816263086438,0.0010365174769620844
